year,shannon,simpson,habitat
1982,1.6128176603621762,0.7674768713729753,cumbres
2012,1.5023563938638642,0.7623914839666415,cumbres
2014,0.9935674571816813,0.591530612244898,cumbres
2016,1.5035024817152334,0.7595486111111112,cumbres
2015,1.346906630828854,0.7307688214303633,cumbres
2008,1.2958916511654408,0.7010633680555556,cumbres
2009,1.0383208446238281,0.6239899356461993,cumbres
2017,1.0603281835344318,0.6428539254988513,cumbres
2018,0.9545629925758077,0.5707732668653028,cumbres
2013,0,0,cumbres
1984,2.0336591820704286,0.8265756615205165,enebral
1985,1.7727505031759814,0.8038477609759661,enebral
2008,2.0561574362764197,0.8553658819606996,enebral
2009,2.1525205983986906,0.8653453453453454,enebral
2010,1.8950128397165962,0.8300789384631404,enebral
2011,2.069092007920344,0.8583519411192576,enebral
2012,2.041525283947788,0.8408063908002639,enebral
2013,1.6645056420533892,0.7326444553790151,enebral
2014,1.6886477195116492,0.686665947520862,enebral
2015,2.076010709187006,0.8403450816340083,enebral
2016,1.994746301508651,0.8403748954830961,enebral
2017,1.9787908267469003,0.8210656205509153,enebral
2018,2.2912645431569443,0.8797929940021937,enebral
2008,2.5958162717635953,0.903932947638123,robledal
2009,2.302531977332081,0.8833450528901772,robledal
2011,2.8440117960279987,0.9275646977533691,robledal
2012,2.7157907758756217,0.9094363521215959,robledal
2014,2.775996070903926,0.9210139438622323,robledal
2015,2.768007165737313,0.9180089982080974,robledal
2018,2.9475560118735333,0.9318283456790124,robledal
1981,2.5539210433535158,0.8977800074375846,robledal
2010,2.4313735994252204,0.8640709414605329,robledal
2013,2.5149333747030207,0.8985932923302716,robledal
2017,1.5604124560713444,0.7032748722257229,robledal
